"n","m","rep_id","beta","SCP"
10000,20,7,3,0.9816
10000,20,7,4,0
10000,20,7,5,0.0372
10000,20,7,6,0.0208
10000,20,7,7,0.0496
10000,20,7,8,0.0856
10000,20,7,9,0
10000,20,7,10,0.1028
10000,20,7,11,0.0076
10000,20,7,12,0.0072
10000,20,7,13,0.0168
10000,20,7,14,0
10000,20,7,15,0.022
10000,20,7,16,0
10000,20,7,17,0.004
10000,20,7,18,0.0024
10000,20,7,19,0
10000,20,7,20,0.0204
10000,20,8,1,0.986
10000,20,8,2,0.9468
10000,20,8,3,0.9864
10000,20,8,4,0.092
10000,20,8,5,0.0352
10000,20,8,6,0.0208
10000,20,8,7,0
10000,20,8,8,0.0572
10000,20,8,9,0.024
10000,20,8,10,0.0196
10000,20,8,11,0.0064
10000,20,8,12,0.0216
10000,20,8,13,0
10000,20,8,14,0.0468
10000,20,8,15,0
10000,20,8,16,0
10000,20,8,17,0
10000,20,8,18,0.0172
10000,20,8,19,0
10000,20,8,20,0.0064
10000,20,9,1,0.9856
10000,20,9,2,0.9408
10000,20,9,3,0.9912
10000,20,9,4,0.0024
10000,20,9,5,0.1132
10000,20,9,6,0.0212
10000,20,9,7,0
10000,20,9,8,0.0104
10000,20,9,9,0
10000,20,9,10,0.1096
10000,20,9,11,0.0256
10000,20,9,12,0
10000,20,9,13,0.0176
10000,20,9,14,0.0432
10000,20,9,15,0.0228
10000,20,9,16,0
10000,20,9,17,0.0312
10000,20,9,18,0.0508
10000,20,9,19,0.0512
10000,20,9,20,0.0564
10000,20,10,1,0.984
10000,20,10,2,0.9424
10000,20,10,3,0.9896
10000,20,10,4,8e-04
10000,20,10,5,0.1032
10000,20,10,6,0.0276
10000,20,10,7,0.0304
10000,20,10,8,0.0112
10000,20,10,9,0.0192
10000,20,10,10,0.2208
10000,20,10,11,0.0028
10000,20,10,12,0
10000,20,10,13,0
10000,20,10,14,0.0044
10000,20,10,15,0.0404
10000,20,10,16,0.0728
10000,20,10,17,0.0484
10000,20,10,18,0
10000,20,10,19,0.0164
10000,20,10,20,0
